,name,price,rates,image,link
0,"POCO C31 (Royal Blue, 64 GB)","₹7,499",4.3,https://rukminim1.flixcart.com/image/312/312/ku4ezrk0/mobile/p/e/4/c31-mzb0a0jin-poco-original-imag7bzqxgdhgf2n.jpeg?q=70,https://www.flipkart.com/poco-c31-royal-blue-64-gb/p/itm19effae969b86?pid=MOBG73E7GKQK4KZP&lid=LSTMOBG73E7GKQK4KZPR5ICMK&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=c56337dd-60b4-4824-aa11-8ca2dc7eb6ad.MOBG73E7GKQK4KZP.SEARCH&ppt=None&ppn=None&ssid=rlyg65t79c0000001672255015360&qH=eb4af0bf07c16429
1,"POCO C31 (Shadow Gray, 64 GB)","₹7,499",4.3,https://rukminim1.flixcart.com/image/312/312/ku4ezrk0/mobile/b/o/m/c31-mzb0a0min-poco-original-imag7bzqxekkpkrv.jpeg?q=70,https://www.flipkart.com/poco-c31-shadow-gray-64-gb/p/itm162375acb8370?pid=MOBG73E7UBFXXMCH&lid=LSTMOBG73E7UBFXXMCHLGXHUM&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&spotlightTagId=BestvalueId_tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=c56337dd-60b4-4824-aa11-8ca2dc7eb6ad.MOBG73E7UBFXXMCH.SEARCH&ppt=None&ppn=None&ssid=rlyg65t79c0000001672255015360&qH=eb4af0bf07c16429
2,"REDMI 10 (Caribbean Green, 64 GB)","₹9,999",4.3,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/g/p/x/-original-imagk4nz54s7a7rf.jpeg?q=70,https://www.flipkart.com/redmi-10-caribbean-green-64-gb/p/itmbfb8dfcdd6e10?pid=MOBGC9GYQGGKWEU3&lid=LSTMOBGC9GYQGGKWEU3QIYEXM&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=c56337dd-60b4-4824-aa11-8ca2dc7eb6ad.MOBGC9GYQGGKWEU3.SEARCH&ppt=None&ppn=None&ssid=rlyg65t79c0000001672255015360&qH=eb4af0bf07c16429
3,"REDMI 10 (Midnight Black, 64 GB)","₹9,999",4.3,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/9/q/j/-original-imagk4nzwhudqhcz.jpeg?q=70,https://www.flipkart.com/redmi-10-midnight-black-64-gb/p/itmd93641e4ebb47?pid=MOBGC9GYEBH3GZ4E&lid=LSTMOBGC9GYEBH3GZ4ESWAKTT&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=c56337dd-60b4-4824-aa11-8ca2dc7eb6ad.MOBGC9GYEBH3GZ4E.SEARCH&ppt=None&ppn=None&ssid=rlyg65t79c0000001672255015360&qH=eb4af0bf07c16429
4,"realme 9i (Prism Black, 64 GB)","₹10,999",4.5,https://rukminim1.flixcart.com/image/312/312/ky90scw0/mobile/m/r/u/-original-imagagnffruu7ptd.jpeg?q=70,https://www.flipkart.com/realme-9i-prism-black-64-gb/p/itm3e9987219f652?pid=MOBG9VGVYG2XHZGR&lid=LSTMOBG9VGVYG2XHZGRXF8S1K&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=c56337dd-60b4-4824-aa11-8ca2dc7eb6ad.MOBG9VGVYG2XHZGR.SEARCH&ppt=None&ppn=None&ssid=rlyg65t79c0000001672255015360&qH=eb4af0bf07c16429
5,"realme 9i (Prism Blue, 64 GB)","₹10,999",4.5,https://rukminim1.flixcart.com/image/312/312/ky90scw0/mobile/s/5/d/-original-imagagnfgh6ed7tp.jpeg?q=70,https://www.flipkart.com/realme-9i-prism-blue-64-gb/p/itm3e9987219f652?pid=MOBG9VGVKUM4XNRR&lid=LSTMOBG9VGVKUM4XNRRJW5YNZ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&spotlightTagId=TrendingId_tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=c56337dd-60b4-4824-aa11-8ca2dc7eb6ad.MOBG9VGVKUM4XNRR.SEARCH&ppt=None&ppn=None&ssid=rlyg65t79c0000001672255015360&qH=eb4af0bf07c16429
6,"MOTOROLA e40 (Carbon Gray, 64 GB)","₹7,999",4.1,https://rukminim1.flixcart.com/image/312/312/l1l1rww0/mobile/v/7/n/-original-imagd48zkjwujxzz.jpeg?q=70,https://www.flipkart.com/motorola-e40-carbon-gray-64-gb/p/itm0ca635007c9e2?pid=MOBG2EMWUMUFGSZE&lid=LSTMOBG2EMWUMUFGSZEJNGZMU&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=c56337dd-60b4-4824-aa11-8ca2dc7eb6ad.MOBG2EMWUMUFGSZE.SEARCH&ppt=None&ppn=None&ssid=rlyg65t79c0000001672255015360&qH=eb4af0bf07c16429
7,"MOTOROLA e40 (Pink Clay, 64 GB)","₹7,999",4.1,https://rukminim1.flixcart.com/image/312/312/l1l1rww0/mobile/v/7/n/-original-imagd48zkjwujxzz.jpeg?q=70,https://www.flipkart.com/motorola-e40-pink-clay-64-gb/p/itm5d6f2871d1bbf?pid=MOBG2EMW2ZUR4BFG&lid=LSTMOBG2EMW2ZUR4BFG7CQBAI&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=c56337dd-60b4-4824-aa11-8ca2dc7eb6ad.MOBG2EMW2ZUR4BFG.SEARCH&ppt=None&ppn=None&ssid=rlyg65t79c0000001672255015360&qH=eb4af0bf07c16429
8,"realme 9i (Prism Black, 128 GB)","₹13,499",4.5,https://rukminim1.flixcart.com/image/312/312/ky90scw0/mobile/m/r/u/-original-imagagnffruu7ptd.jpeg?q=70,https://www.flipkart.com/realme-9i-prism-black-128-gb/p/itm3e9987219f652?pid=MOBG9VGV65TK6YZG&lid=LSTMOBG9VGV65TK6YZGOTCEDF&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=c56337dd-60b4-4824-aa11-8ca2dc7eb6ad.MOBG9VGV65TK6YZG.SEARCH&ppt=None&ppn=None&ssid=rlyg65t79c0000001672255015360&qH=eb4af0bf07c16429
9,"realme 9i (Prism Blue, 128 GB)","₹13,499",4.5,https://rukminim1.flixcart.com/image/312/312/ky90scw0/mobile/s/5/d/-original-imagagnfgh6ed7tp.jpeg?q=70,https://www.flipkart.com/realme-9i-prism-blue-128-gb/p/itm3e9987219f652?pid=MOBG9VGV2Q9PDXHN&lid=LSTMOBG9VGV2Q9PDXHNDMVYNZ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=c56337dd-60b4-4824-aa11-8ca2dc7eb6ad.MOBG9VGV2Q9PDXHN.SEARCH&ppt=None&ppn=None&ssid=rlyg65t79c0000001672255015360&qH=eb4af0bf07c16429
10,"realme 9i (Prism Black, 128 GB)","₹11,499",4.5,https://rukminim1.flixcart.com/image/312/312/ky90scw0/mobile/m/r/u/-original-imagagnffruu7ptd.jpeg?q=70,https://www.flipkart.com/realme-9i-prism-black-128-gb/p/itm3e9987219f652?pid=MOBGBMZH9X7PQZJZ&lid=LSTMOBGBMZH9X7PQZJZNQTN2Q&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=c56337dd-60b4-4824-aa11-8ca2dc7eb6ad.MOBGBMZH9X7PQZJZ.SEARCH&ppt=None&ppn=None&ssid=rlyg65t79c0000001672255015360&qH=eb4af0bf07c16429
11,"realme 9i (Prism Blue, 128 GB)","₹11,499",4.5,https://rukminim1.flixcart.com/image/312/312/ky90scw0/mobile/s/5/d/-original-imagagnfgh6ed7tp.jpeg?q=70,https://www.flipkart.com/realme-9i-prism-blue-128-gb/p/itm3e9987219f652?pid=MOBGBMZHMUHYWFAE&lid=LSTMOBGBMZHMUHYWFAE85XWU8&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=c56337dd-60b4-4824-aa11-8ca2dc7eb6ad.MOBGBMZHMUHYWFAE.SEARCH&ppt=None&ppn=None&ssid=rlyg65t79c0000001672255015360&qH=eb4af0bf07c16429
12,"APPLE iPhone 13 (Green, 128 GB)","₹61,999",4.7,https://rukminim1.flixcart.com/image/312/312/l0igvww0/mobile/r/q/m/-original-imagca5ajerqpfjy.jpeg?q=70,https://www.flipkart.com/apple-iphone-13-green-128-gb/p/itm18a55937b2607?pid=MOBGC9VGSU9DWGJZ&lid=LSTMOBGC9VGSU9DWGJZTOZYKQ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=c56337dd-60b4-4824-aa11-8ca2dc7eb6ad.MOBGC9VGSU9DWGJZ.SEARCH&ppt=None&ppn=None&ssid=rlyg65t79c0000001672255015360&qH=eb4af0bf07c16429
13,"REDMI 9i Sport (Metallic Blue, 64 GB)","₹7,099",4.3,https://rukminim1.flixcart.com/image/312/312/ku04o7k0/mobile/x/x/t/9i-sport-mzb0a10in-redmi-original-imag785rwf3q8sft.jpeg?q=70,https://www.flipkart.com/redmi-9i-sport-metallic-blue-64-gb/p/itmeb95d0b4616cc?pid=MOBG6WQWQZZMGQCU&lid=LSTMOBG6WQWQZZMGQCUPYXGVY&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=c56337dd-60b4-4824-aa11-8ca2dc7eb6ad.MOBG6WQWQZZMGQCU.SEARCH&ppt=None&ppn=None&ssid=rlyg65t79c0000001672255015360&qH=eb4af0bf07c16429
14,"REDMI 9i Sport (Coral Green, 64 GB)","₹7,099",4.3,https://rukminim1.flixcart.com/image/312/312/ku04o7k0/mobile/m/w/p/9i-sport-mzb0a0yin-redmi-original-imag785ryfspqg3a.jpeg?q=70,https://www.flipkart.com/redmi-9i-sport-coral-green-64-gb/p/itmb5e8d8186b602?pid=MOBG6WQWJRFZ5WDG&lid=LSTMOBG6WQWJRFZ5WDGO4EIDO&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=c56337dd-60b4-4824-aa11-8ca2dc7eb6ad.MOBG6WQWJRFZ5WDG.SEARCH&ppt=None&ppn=None&ssid=rlyg65t79c0000001672255015360&qH=eb4af0bf07c16429
15,"realme 9 (Meteor Black, 128 GB)","₹13,999",4.4,https://rukminim1.flixcart.com/image/312/312/l3t2fm80/mobile/7/w/5/-original-imageu8c4ae9sezr.jpeg?q=70,https://www.flipkart.com/realme-9-meteor-black-128-gb/p/itm73722a6d35d36?pid=MOBGDYSHYBBS2BBF&lid=LSTMOBGDYSHYBBS2BBF2ZOATH&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=c56337dd-60b4-4824-aa11-8ca2dc7eb6ad.MOBGDYSHYBBS2BBF.SEARCH&ppt=None&ppn=None&ssid=rlyg65t79c0000001672255015360&qH=eb4af0bf07c16429
16,"realme 9 (Meteor Black, 128 GB)","₹14,999",4.4,https://rukminim1.flixcart.com/image/312/312/l3t2fm80/mobile/7/w/5/-original-imageu8c4ae9sezr.jpeg?q=70,https://www.flipkart.com/realme-9-meteor-black-128-gb/p/itm73722a6d35d36?pid=MOBGDYSHVUMESCUV&lid=LSTMOBGDYSHVUMESCUVBK8HJW&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=c56337dd-60b4-4824-aa11-8ca2dc7eb6ad.MOBGDYSHVUMESCUV.SEARCH&ppt=None&ppn=None&ssid=rlyg65t79c0000001672255015360&qH=eb4af0bf07c16429
17,"realme 9 (Sunburst Gold, 128 GB)","₹13,999",4.4,https://rukminim1.flixcart.com/image/312/312/l3t2fm80/mobile/6/w/7/-original-imageu8cuhfumfw7.jpeg?q=70,https://www.flipkart.com/realme-9-sunburst-gold-128-gb/p/itm73722a6d35d36?pid=MOBGDYSHHVWMECHS&lid=LSTMOBGDYSHHVWMECHSTFXBTZ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=c56337dd-60b4-4824-aa11-8ca2dc7eb6ad.MOBGDYSHHVWMECHS.SEARCH&ppt=None&ppn=None&ssid=rlyg65t79c0000001672255015360&qH=eb4af0bf07c16429
18,"POCO C31 (Royal Blue, 32 GB)","₹6,499",4.3,https://rukminim1.flixcart.com/image/312/312/ku4ezrk0/mobile/p/e/4/c31-mzb0a0jin-poco-original-imag7bzqxgdhgf2n.jpeg?q=70,https://www.flipkart.com/poco-c31-royal-blue-32-gb/p/itm9656ebd21e0b3?pid=MOBG73E7ZBHHQ3RB&lid=LSTMOBG73E7ZBHHQ3RBPQ3FU1&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=c56337dd-60b4-4824-aa11-8ca2dc7eb6ad.MOBG73E7ZBHHQ3RB.SEARCH&ppt=None&ppn=None&ssid=rlyg65t79c0000001672255015360&qH=eb4af0bf07c16429
19,"MOTOROLA g52 (Charcoal Grey, 128 GB)","₹12,999",4.2,https://rukminim1.flixcart.com/image/312/312/l29c9e80/mobile/l/g/m/-original-imagdnefhnhztahe.jpeg?q=70,https://www.flipkart.com/motorola-g52-charcoal-grey-128-gb/p/itmea9ebe003e26c?pid=MOBGAKFYFCZJ8JVY&lid=LSTMOBGAKFYFCZJ8JVY99JHKD&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=c56337dd-60b4-4824-aa11-8ca2dc7eb6ad.MOBGAKFYFCZJ8JVY.SEARCH&ppt=None&ppn=None&ssid=rlyg65t79c0000001672255015360&qH=eb4af0bf07c16429
20,"REDMI 10 (Pacific Blue, 64 GB)","₹9,999",4.3,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/m/q/e/-original-imagk4nz6xgtexam.jpeg?q=70,https://www.flipkart.com/redmi-10-pacific-blue-64-gb/p/itm0f2a6a2112b75?pid=MOBGC9GYCHQZK9GW&lid=LSTMOBGC9GYCHQZK9GW8N0WII&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=c56337dd-60b4-4824-aa11-8ca2dc7eb6ad.MOBGC9GYCHQZK9GW.SEARCH&ppt=None&ppn=None&ssid=rlyg65t79c0000001672255015360&qH=eb4af0bf07c16429
21,"MOTOROLA g52 (Metallic White, 128 GB)","₹12,999",4.2,https://rukminim1.flixcart.com/image/312/312/l29c9e80/mobile/4/f/z/-original-imagdnefpypk9cgx.jpeg?q=70,https://www.flipkart.com/motorola-g52-metallic-white-128-gb/p/itm469efad765b98?pid=MOBGAKFYDDSNZGR8&lid=LSTMOBGAKFYDDSNZGR8W6QBUV&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=c56337dd-60b4-4824-aa11-8ca2dc7eb6ad.MOBGAKFYDDSNZGR8.SEARCH&ppt=None&ppn=None&ssid=rlyg65t79c0000001672255015360&qH=eb4af0bf07c16429
22,"REDMI 9i Sport (Carbon Black, 64 GB)","₹7,099",4.3,https://rukminim1.flixcart.com/image/312/312/ku04o7k0/mobile/p/8/u/9i-sport-mzb0a5iin-redmi-original-imag785qegs5ghyy.jpeg?q=70,https://www.flipkart.com/redmi-9i-sport-carbon-black-64-gb/p/itm4559197007bd1?pid=MOBG6WQWRGRRDBH6&lid=LSTMOBG6WQWRGRRDBH6BCUNBA&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=c56337dd-60b4-4824-aa11-8ca2dc7eb6ad.MOBG6WQWRGRRDBH6.SEARCH&ppt=None&ppn=None&ssid=rlyg65t79c0000001672255015360&qH=eb4af0bf07c16429
